bot_config,lam_confirm,lam_disconfirm,session_id,round,draw_red,draw_blue,true_bayes_mode,bot_mode,modes_diverge,quadratic_score
bayesian,0.0,0.0,33,2,2,1,6,6,0,-0.01803835569315443
bayesian,0.0,0.0,33,3,3,0,11,11,0,0.19219197678078132
bayesian,0.0,0.0,33,4,1,2,10,10,0,0.09483927447465867
bayesian,0.0,0.0,33,5,1,2,9,9,0,-0.14247647894093274
bayesian,0.0,0.0,34,1,2,1,13,13,0,0.10550662370211243
bayesian,0.0,0.0,34,2,2,1,13,13,0,0.14088837289301692
bayesian,0.0,0.0,34,3,0,3,9,9,0,0.03501169576149098
bayesian,0.0,0.0,34,4,2,1,10,10,0,0.09483927447465865
bayesian,0.0,0.0,34,5,3,0,12,12,0,0.38091074425171373
bayesian,0.0,0.0,35,1,0,3,0,0,0,-0.09864184270199308
bayesian,0.0,0.0,35,2,2,1,6,6,0,-0.01803835569315443
bayesian,0.0,0.0,35,3,3,0,11,11,0,0.19219197678078132
bayesian,0.0,0.0,35,4,2,1,12,12,0,0.27428071831633094
bayesian,0.0,0.0,35,5,0,3,9,9,0,-0.1424764789409328
bayesian,0.0,0.0,36,1,2,1,13,13,0,0.10550662370211243
bayesian,0.0,0.0,36,2,2,1,13,13,0,0.14088837289301692
bayesian,0.0,0.0,36,3,1,2,11,11,0,0.19219197678078132
bayesian,0.0,0.0,36,4,3,0,13,13,0,0.1717455435816172
bayesian,0.0,0.0,36,5,1,2,12,12,0,0.3809107442517138
bayesian,0.0,0.0,37,1,1,2,6,6,0,0.04134622269960614
bayesian,0.0,0.0,37,2,2,1,10,10,0,0.11916638000229328
bayesian,0.0,0.0,37,3,2,1,11,11,0,0.1921919767807812
bayesian,0.0,0.0,37,4,3,0,13,13,0,0.17174554358161706
bayesian,0.0,0.0,37,5,2,1,13,13,0,0.12947396111233583
bayesian,0.0,0.0,38,1,3,0,20,20,0,-0.0438381668456856
bayesian,0.0,0.0,38,2,1,2,13,13,0,0.14088837289301687
bayesian,0.0,0.0,38,3,2,1,13,13,0,0.16518572722541386
bayesian,0.0,0.0,38,4,2,1,13,13,0,0.17174554358161717
bayesian,0.0,0.0,38,5,2,1,13,13,0,0.12947396111233592
bayesian,0.0,0.0,39,1,1,2,6,6,0,0.04134622269960614
bayesian,0.0,0.0,39,2,2,1,10,10,0,0.11916638000229328
bayesian,0.0,0.0,39,3,2,1,11,11,0,0.1921919767807812
bayesian,0.0,0.0,39,4,3,0,13,13,0,0.17174554358161706
bayesian,0.0,0.0,39,5,1,2,12,12,0,0.38091074425171356
bayesian,0.0,0.0,40,1,1,2,6,6,0,0.04134622269960614
bayesian,0.0,0.0,40,2,2,1,10,10,0,0.11916638000229328
bayesian,0.0,0.0,40,3,3,0,13,13,0,0.16518572722541386
bayesian,0.0,0.0,40,4,2,1,13,13,0,0.17174554358161717
bayesian,0.0,0.0,40,5,1,2,12,12,0,0.3809107442517137
bayesian,0.0,0.0,41,1,2,1,13,13,0,0.10550662370211243
bayesian,0.0,0.0,41,2,2,1,13,13,0,0.14088837289301692
bayesian,0.0,0.0,41,3,2,1,13,13,0,0.16518572722541386
bayesian,0.0,0.0,41,4,2,1,13,13,0,0.17174554358161717
bayesian,0.0,0.0,41,5,2,1,13,13,0,0.12947396111233592
bayesian,0.0,0.0,42,1,2,1,13,13,0,0.10550662370211243
bayesian,0.0,0.0,42,2,1,2,10,10,0,0.11916638000229333
bayesian,0.0,0.0,42,3,3,0,13,13,0,0.16518572722541386
bayesian,0.0,0.0,42,4,2,1,13,13,0,0.17174554358161717
bayesian,0.0,0.0,42,5,2,1,13,13,0,0.12947396111233592
